date,open,close,high,low,volume,code
2014-06-13,6.337,6.302,6.342,6.287,34670.0,002237
2014-06-16,6.337,6.376,6.391,6.327,32116.0,002237
2014-06-17,6.332,6.222,6.337,6.217,27362.0,002237
2014-06-18,6.232,6.217,6.282,6.173,26821.0,002237
2014-06-19,6.217,6.148,6.237,6.059,23292.0,002237
2014-06-20,6.456,6.307,6.52,6.307,72249.0,002237
2014-06-23,6.347,6.436,6.496,6.217,72037.0,002237
2014-06-24,6.381,6.391,6.436,6.312,36329.0,002237
2014-06-25,6.357,6.287,6.361,6.262,23632.0,002237
2014-06-26,6.287,6.317,6.396,6.287,27338.0,002237
2014-06-27,6.257,6.327,6.371,6.247,28676.0,002237
2014-06-30,6.307,6.342,6.366,6.277,28207.0,002237
2014-07-01,6.386,6.486,6.61,6.361,72905.0,002237
2014-07-02,6.481,6.496,6.53,6.406,37683.0,002237
2014-07-03,6.496,6.55,6.63,6.496,60580.0,002237
2014-07-04,6.51,6.456,6.535,6.441,34168.0,002237
2014-07-07,6.456,6.391,6.461,6.361,30215.0,002237
2014-07-08,6.376,6.406,6.436,6.376,18910.0,002237
2014-07-09,6.426,6.441,6.496,6.401,42440.0,002237
2014-07-10,6.481,6.456,6.486,6.381,29407.0,002237
2014-07-11,6.555,6.55,6.64,6.525,64952.0,002237
2014-07-14,6.501,6.54,6.58,6.446,46775.0,002237
2014-07-15,6.456,6.466,6.481,6.406,36453.0,002237
2014-07-16,6.421,6.451,6.456,6.386,32469.0,002237
2014-07-17,6.456,6.555,6.575,6.416,50293.0,002237
2014-07-18,6.669,6.55,6.784,6.53,80584.0,002237
2014-07-21,6.481,6.456,6.506,6.396,39101.0,002237
2014-07-22,6.431,6.55,6.585,6.411,52119.0,002237
2014-07-23,6.555,6.585,6.704,6.506,64777.0,002237
2014-07-24,6.555,6.684,6.749,6.456,86472.0,002237
2014-07-25,6.635,6.898,6.972,6.635,159939.0,002237
2014-07-28,6.977,7.027,7.166,6.838,182565.0,002237
2014-07-29,6.962,6.967,7.077,6.933,104843.0,002237
2014-07-30,6.947,6.898,7.022,6.853,76452.0,002237
2014-07-31,6.923,7.394,7.588,6.893,336989.0,002237
2014-08-01,7.25,7.087,7.315,7.082,186498.0,002237
2014-08-04,7.091,7.181,7.196,7.057,94381.0,002237
2014-08-05,7.186,7.201,7.275,7.116,89789.0,002237
2014-08-06,7.141,7.285,7.345,7.096,105113.0,002237
2014-08-07,7.439,7.156,7.484,7.151,112747.0,002237
2014-08-08,7.206,7.697,7.871,7.166,315843.0,002237
2014-08-11,7.499,7.677,7.727,7.449,173381.0,002237
2014-08-12,7.623,7.588,7.648,7.529,85147.0,002237
2014-08-13,7.548,7.613,7.737,7.464,87194.0,002237
2014-08-14,7.588,7.394,7.692,7.375,107067.0,002237
2014-08-15,7.384,7.345,7.419,7.191,98029.0,002237
2014-08-18,7.275,7.325,7.404,7.25,65426.0,002237
2014-08-19,7.35,7.399,7.484,7.305,80134.0,002237
2014-08-20,7.409,7.315,7.409,7.29,56467.0,002237
2014-08-21,7.265,7.221,7.36,7.166,61096.0,002237
2014-08-22,7.201,7.33,7.37,7.186,70121.0,002237
2014-08-25,7.315,7.191,7.375,7.166,52016.0,002237
2014-08-26,7.191,7.151,7.24,7.027,71375.0,002237
2014-08-27,7.067,7.091,7.161,7.067,35020.0,002237
2014-08-28,7.116,7.007,7.146,6.967,44282.0,002237
2014-08-29,7.007,7.072,7.077,7.007,35862.0,002237
2014-09-01,7.052,7.171,7.181,7.052,48518.0,002237
2014-09-02,7.131,7.236,7.265,7.126,63331.0,002237
2014-09-03,7.181,7.25,7.275,7.156,92269.0,002237
2014-09-04,7.25,7.295,7.325,7.206,98737.0,002237
2014-09-05,7.285,7.34,7.37,7.236,93599.0,002237
2014-09-09,7.29,7.24,7.315,7.206,62840.0,002237
2014-09-10,7.211,7.24,7.255,7.161,54723.0,002237
2014-09-11,7.211,7.345,7.389,7.186,97136.0,002237
2014-09-12,7.31,7.31,7.33,7.231,64438.0,002237
2014-09-15,7.29,7.394,7.434,7.25,97323.0,002237
2014-09-16,7.38,7.34,7.687,7.34,167021.0,002237
2014-09-17,7.325,7.583,7.623,7.295,165654.0,002237
2014-09-18,7.514,7.484,7.514,7.404,82736.0,002237
2014-09-19,7.399,7.399,7.464,7.315,70725.0,002237
2014-09-22,7.35,7.196,7.384,7.186,72601.0,002237
2014-09-23,7.206,7.226,7.275,7.206,47779.0,002237
2014-09-24,7.24,7.36,7.375,7.236,59063.0,002237
2014-09-25,7.345,7.295,7.414,7.28,63059.0,002237
2014-09-26,7.38,7.375,7.464,7.32,59148.0,002237
2014-09-29,7.409,7.394,7.439,7.33,65847.0,002237
2014-09-30,7.399,7.479,7.529,7.394,88728.0,002237
2014-10-08,7.464,7.459,7.464,7.36,74661.0,002237
2014-10-09,7.504,7.608,7.687,7.389,150362.0,002237
2014-10-10,7.529,7.449,7.588,7.429,81778.0,002237
2014-10-13,7.474,7.608,7.638,7.454,99191.0,002237
2014-10-14,7.648,7.543,7.677,7.509,90481.0,002237
2014-10-15,7.524,7.489,7.543,7.384,68691.0,002237
2014-10-16,7.514,7.633,7.817,7.514,181041.0,002237
2014-10-17,7.583,7.479,7.583,7.35,108231.0,002237
2014-10-20,7.494,7.484,7.519,7.365,58950.0,002237
2014-10-21,7.489,7.598,7.613,7.459,90853.0,002237
2014-10-22,7.538,7.325,7.588,7.315,71009.0,002237
2014-10-23,7.325,7.082,7.37,7.052,69154.0,002237
2014-10-24,7.052,7.072,7.126,7.002,35154.0,002237
2014-10-27,7.047,7.082,7.136,7.022,26633.0,002237
2014-10-28,7.082,7.236,7.26,7.082,42834.0,002237
2014-10-29,7.26,7.31,7.315,7.211,66490.0,002237
2014-10-30,7.25,7.429,7.583,7.201,114652.0,002237
2014-10-31,7.355,7.454,7.489,7.325,114513.0,002237
2014-11-03,7.394,7.787,8.194,7.375,213570.0,002237
2014-11-04,7.846,7.831,7.921,7.668,151918.0,002237
2014-11-05,7.797,7.926,8.119,7.782,160251.0,002237
2014-11-06,7.836,8.194,8.373,7.797,217634.0,002237
2014-11-07,8.045,8.055,8.169,7.995,144824.0,002237
2014-11-10,8.114,8.005,8.134,7.831,127566.0,002237
2014-11-11,8.015,7.697,8.015,7.543,140191.0,002237
2014-11-12,7.673,7.807,7.826,7.638,70181.0,002237
2014-11-13,7.752,7.896,7.995,7.593,120552.0,002237
2014-11-14,7.866,7.767,7.866,7.668,56814.0,002237
2014-11-17,7.921,7.995,8.06,7.797,153907.0,002237
2014-11-18,7.936,7.896,7.975,7.821,61628.0,002237
2014-11-19,7.946,7.797,8.045,7.747,81598.0,002237
2014-11-20,7.747,7.767,7.841,7.697,50280.0,002237
2014-11-21,7.757,7.812,7.826,7.697,59974.0,002237
2014-11-24,7.921,8.105,8.154,7.821,172188.0,002237
2014-11-25,8.1,8.775,8.864,8.045,322963.0,002237
2014-11-26,8.74,8.556,8.74,8.447,205167.0,002237
2014-11-27,8.566,8.676,8.691,8.452,133483.0,002237
2014-11-28,8.889,8.502,9.038,8.368,276715.0,002237
2014-12-01,8.249,8.283,8.368,8.105,153031.0,002237
2014-12-02,8.487,8.378,8.532,8.323,156462.0,002237
2014-12-03,8.283,8.71,9.023,8.194,278811.0,002237
2014-12-04,8.71,8.805,8.889,8.631,201916.0,002237
2014-12-05,8.82,8.348,8.844,8.154,174076.0,002237
2014-12-08,8.293,8.502,8.576,8.204,127929.0,002237
2014-12-09,8.462,8.169,8.835,8.134,205420.0,002237
2014-12-10,8.442,8.561,8.581,8.273,145086.0,002237
2014-12-11,8.467,8.601,8.641,8.398,127613.0,002237
2014-12-12,8.571,8.686,8.765,8.552,110200.0,002237
2014-12-15,8.641,8.621,8.661,8.482,76090.0,002237
2014-12-16,8.527,8.527,8.547,8.353,107922.0,002237
